objectid,filename,youtubeid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
coll0001,100a.jpg,,SLIS Pic 1,SLIS @ 60 Committee,1980-01,lorem ipsum dolor,upslis; 60th anniversary;,Quezon City,14.65498336,121.0711182,UP SLIS Archives,,Image;StillImage,image/jpeg,,Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the UP SLIS.,http://rightsstatements.org/vocab/NoC-US/1.0/
coll0002,100b.jpg,,SLIS Pic 2,SLIS @ 60 Committee,1980-02,lorem ipsum dolor,faculty; teacher,Quezon City,15,122,UP SLIS Archives,,Image;StillImage,image/jpeg,,Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the UP SLIS.,http://rightsstatements.org/vocab/NoC-US/1.0/
coll0003,100c.jpg,,SLIS Pic 3,SLIS @ 60 Committee,1980-03,lorem ipsum dolor,dean; library,Quezon City,15.34501664,122.9288818,UP SLIS Archives,,Image;StillImage,image/jpeg,,Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the UP SLIS.,http://rightsstatements.org/vocab/NoC-US/1.0/
coll0004,100d.jpg,,SLIS Pic 4,SLIS @ 60 Committee,1980-04,lorem ipsum dolor,information science,Quezon City,15.69003328,123.8577636,UP SLIS Archives,,Image;StillImage,image/jpeg,,Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the UP SLIS.,http://rightsstatements.org/vocab/NoC-US/1.0/
coll0005,100e.jpg,,SLIS Pic 5,SLIS @ 60 Committee,1980-05,lorem ipsum dolor,upslis; 60th anniversary;,Quezon City,16.03504992,124.7866454,UP SLIS Archives,,Image;StillImage,image/jpeg,,Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the UP SLIS.,http://rightsstatements.org/vocab/NoC-US/1.0/
coll0006,1917.JPG,,SLIS Pic 6,SLIS @ 60 Committee,1980-06,lorem ipsum dolor,faculty; teacher,Quezon City,16.38006656,125.7155272,UP SLIS Archives,,Image;StillImage,image/jpeg,,Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the UP SLIS.,http://rightsstatements.org/vocab/NoC-US/1.0/
coll0007,"1954_rmenguito,carmenlazaroand2otherablsstudents.JPG",,SLIS Pic 7,SLIS @ 60 Committee,1980-07,lorem ipsum dolor,dean; library,Quezon City,16.72508319,126.644409,UP SLIS Archives,,Image;StillImage,image/jpeg,,Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the UP SLIS.,http://rightsstatements.org/vocab/NoC-US/1.0/
coll0008,"1956_carmenlazaro,pacificoaustria,rmv,etc.infrontoftableswithmelonfruits.JPG",,SLIS Pic 8,SLIS @ 60 Committee,1980-08,lorem ipsum dolor,information science,Quezon City,17.07009983,127.5732908,UP SLIS Archives,,Image;StillImage,image/jpeg,,Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the UP SLIS.,http://rightsstatements.org/vocab/NoC-US/1.0/
coll0009,"19562_rmv,carmenlazaroand5otherlsstudents.JPG",,SLIS Pic 9,SLIS @ 60 Committee,1980-09,lorem ipsum dolor,upslis; 60th anniversary;,Quezon City,17.41511647,128.5021726,UP SLIS Archives,,Image;StillImage,image/jpeg,,Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the UP SLIS.,http://rightsstatements.org/vocab/NoC-US/1.0/
coll0010,"1959_beulahdalao-nuval,___,mrs.a.dalao,rmv.JPG",,SLIS Pic 10,SLIS @ 60 Committee,1980-10,lorem ipsum dolor,faculty; teacher,Quezon City,17.76013311,129.4310544,UP SLIS Archives,,Image;StillImage,image/jpeg,,Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the UP SLIS.,http://rightsstatements.org/vocab/NoC-US/1.0/
